                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.4002,                0.85305,                0.96661,                0.87994,                0.78326,                0.86229,                0.53857,                 1.2792,                 0.8577,                 1.0046,               0.001505,               0.001505,               0.001505
                    102,                   1.41,                0.85142,                0.96605,                0.84876,                0.81395,                0.88249,                0.51055,                 1.3774,                0.90212,                 1.0182,              0.0015001,              0.0015001,              0.0015001
                    103,                 1.3807,                0.83801,                0.96236,                0.86448,                0.80348,                0.87828,                0.55412,                 1.2752,                0.84146,                0.98381,              0.0014951,              0.0014951,              0.0014951
                    104,                 1.3855,                0.82776,                0.95843,                0.83989,                0.76081,                0.84879,                0.51597,                 1.3421,                0.87293,                 1.0176,              0.0014901,              0.0014901,              0.0014901
                    105,                 1.3878,                0.83673,                0.95093,                0.87394,                0.74046,                0.83408,                0.51791,                 1.3265,                0.88371,                 1.0047,              0.0014852,              0.0014852,              0.0014852
                    106,                 1.3946,                0.83887,                0.96712,                0.87628,                0.78395,                0.84905,                 0.5213,                 1.3022,                0.85909,                  1.025,              0.0014803,              0.0014803,              0.0014803
                    107,                 1.3942,                0.84968,                0.95921,                0.86468,                0.78042,                0.86938,                0.53284,                 1.3021,                0.86855,                0.99101,              0.0014753,              0.0014753,              0.0014753
                    108,                 1.4147,                0.83961,                0.96564,                0.82522,                0.74046,                0.83761,                0.51079,                 1.2937,                0.89213,                0.99125,              0.0014703,              0.0014703,              0.0014703
                    109,                 1.3754,                0.83331,                0.96479,                0.85132,                0.78679,                0.86674,                0.54616,                 1.2708,                0.86613,                0.99595,              0.0014654,              0.0014654,              0.0014654
                    110,                 1.3665,                0.82182,                0.94559,                0.84769,                0.78626,                 0.8389,                0.47014,                 1.4898,                 0.9292,                 1.0442,              0.0014605,              0.0014605,              0.0014605
                    111,                 1.4096,                0.82993,                0.95072,                0.85517,                0.75573,                0.85344,                0.55063,                 1.2327,                0.86127,                0.98534,              0.0014555,              0.0014555,              0.0014555
                    112,                 1.3937,                0.83722,                0.94773,                0.81153,                0.77243,                0.82892,                0.49554,                 1.3829,                0.93063,                 1.0204,              0.0014505,              0.0014505,              0.0014505
                    113,                 1.3744,                0.83218,                0.95764,                0.82778,                0.79771,                0.85731,                 0.5431,                 1.2796,                0.85419,                 0.9821,              0.0014456,              0.0014456,              0.0014456
                    114,                 1.3616,                0.81852,                0.94643,                0.83695,                0.80153,                0.86892,                0.53679,                 1.2736,                0.83714,                 0.9877,              0.0014406,              0.0014406,              0.0014406
                    115,                 1.3604,                0.81347,                0.94792,                0.80243,                0.82161,                0.85297,                 0.5169,                  1.314,                0.88859,                 1.0443,              0.0014357,              0.0014357,              0.0014357
                    116,                 1.3517,                0.82868,                0.95373,                0.87507,                0.78626,                0.87537,                0.53882,                 1.2783,                0.83413,                0.99464,              0.0014307,              0.0014307,              0.0014307
                    117,                 1.3394,                0.81948,                0.95216,                0.84067,                0.77863,                0.86902,                0.53463,                 1.2832,                0.88284,                0.99634,              0.0014258,              0.0014258,              0.0014258
                    118,                 1.3802,                0.82868,                0.97326,                0.84314,                0.78244,                0.85557,                0.51613,                 1.4222,                0.85822,                 1.0381,              0.0014208,              0.0014208,              0.0014208
                    119,                 1.3976,                0.83097,                0.96236,                0.82536,                0.79771,                0.85487,                0.52615,                 1.2938,                0.85954,                 1.0018,              0.0014159,              0.0014159,              0.0014159
                    120,                 1.3878,                0.82232,                0.95964,                0.83873,                0.79403,                0.85992,                0.54354,                 1.2417,                0.84211,                0.97341,               0.001411,               0.001411,               0.001411
                    121,                 1.3766,                 0.8181,                0.95463,                0.81628,                0.79389,                0.83306,                0.50184,                 1.3671,                0.90072,                  1.008,               0.001406,               0.001406,               0.001406
                    122,                 1.3305,                0.80095,                0.94837,                0.81118,                0.75425,                0.82784,                0.50606,                 1.3541,                0.88361,                  1.006,              0.0014011,              0.0014011,              0.0014011
                    123,                 1.3266,                0.80954,                0.93915,                 0.5709,                0.48092,                0.51917,                0.24983,                 1.8942,                 1.4137,                 1.3319,              0.0013961,              0.0013961,              0.0013961
                    124,                 1.3545,                0.82322,                0.95383,                0.86926,                 0.7613,                0.84481,                0.52517,                 1.3228,                0.86148,                 1.0172,              0.0013912,              0.0013912,              0.0013912
                    125,                 1.3637,                 0.8162,                  0.952,                0.84384,                0.80534,                0.87619,                0.55768,                 1.2566,                 0.8377,                0.98006,              0.0013862,              0.0013862,              0.0013862
                    126,                 1.3272,                0.80644,                0.96066,                0.82659,                0.81298,                0.86798,                0.54282,                  1.312,                0.85797,                0.99464,              0.0013813,              0.0013813,              0.0013813
                    127,                 1.3797,                0.83243,                0.95101,                0.84097,                0.78716,                0.84567,                0.51824,                 1.3354,                0.85869,                 1.0068,              0.0013763,              0.0013763,              0.0013763
                    128,                 1.3673,                0.82682,                 0.9576,                0.85816,                0.76336,                0.84271,                0.51923,                 1.2808,                0.86492,                  1.004,              0.0013714,              0.0013714,              0.0013714
                    129,                 1.3558,                0.80668,                0.94902,                0.83248,                0.79665,                0.84536,                0.53752,                 1.2686,                0.83476,                0.99317,              0.0013664,              0.0013664,              0.0013664
                    130,                  1.345,                 0.8093,                0.94841,                0.86609,                0.80534,                0.86302,                0.53936,                 1.3039,                0.83807,                 1.0051,              0.0013615,              0.0013615,              0.0013615
                    131,                 1.3386,                0.80568,                0.93488,                0.83755,                0.76744,                0.84844,                0.53719,                 1.2909,                0.86438,                  0.984,              0.0013565,              0.0013565,              0.0013565
                    132,                 1.3467,                0.79737,                0.94913,                0.85925,                0.76336,                0.85607,                0.52495,                 1.3578,                0.86492,                   1.01,              0.0013515,              0.0013515,              0.0013515
                    133,                 1.3263,                0.79599,                0.94167,                0.82505,                0.77398,                0.84656,                0.54676,                 1.2583,                0.83678,                 1.0004,              0.0013466,              0.0013466,              0.0013466
                    134,                  1.309,                0.77542,                0.92709,                0.88064,                0.76336,                0.85112,                0.52044,                  1.303,                0.83763,                0.99868,              0.0013417,              0.0013417,              0.0013417
                    135,                 1.3395,                 0.8084,                0.94221,                0.82826,                0.78626,                 0.8453,                 0.5428,                 1.2815,                 0.8395,                0.98131,              0.0013367,              0.0013367,              0.0013367
                    136,                 1.3075,                0.79215,                0.93994,                0.78362,                 0.7879,                0.81141,                0.47853,                 1.4286,                0.91183,                 1.0277,              0.0013318,              0.0013318,              0.0013318
                    137,                 1.3475,                 0.8014,                0.94012,                0.84042,                0.78392,                0.84269,                0.52317,                 1.3113,                0.83767,                0.97505,              0.0013268,              0.0013268,              0.0013268
                    138,                 1.3184,                 0.7927,                0.93512,                0.85701,                0.80063,                0.85928,                0.55374,                 1.2299,                0.82484,                0.96363,              0.0013219,              0.0013219,              0.0013219
                    139,                 1.2993,                0.78346,                0.93912,                 0.8581,                0.80784,                0.87352,                0.54613,                 1.2534,                0.84081,                 1.0003,              0.0013169,              0.0013169,              0.0013169
                    140,                  1.307,                0.78171,                0.93919,                0.78552,                0.82473,                0.84127,                0.53311,                 1.2852,                0.83977,                0.99771,               0.001312,               0.001312,               0.001312
                    141,                 1.2792,                0.76856,                0.93847,                0.85326,                0.77676,                0.84025,                0.53641,                 1.2587,                0.80603,                 1.0175,               0.001307,               0.001307,               0.001307
                    142,                 1.3144,                0.78265,                0.93148,                0.84678,                0.79389,                0.83974,                0.52849,                 1.2979,                0.80865,                0.99388,               0.001302,               0.001302,               0.001302
                    143,                 1.3211,                0.78146,                0.93495,                0.85801,                 0.7842,                0.86387,                0.55084,                 1.2568,                0.81347,                0.98691,              0.0012971,              0.0012971,              0.0012971
                    144,                 1.2846,                0.77154,                0.93597,                0.84151,                0.79034,                0.83862,                0.51634,                 1.3334,                0.84579,                 1.0153,              0.0012922,              0.0012922,              0.0012922
                    145,                 1.3086,                0.77257,                0.93711,                0.84374,                0.82824,                0.86531,                0.53901,                 1.2571,                0.84134,                  1.001,              0.0012872,              0.0012872,              0.0012872
                    146,                 1.2957,                0.76569,                0.92349,                0.78889,                0.80534,                0.83086,                0.49723,                 1.3738,                0.91426,                 1.0335,              0.0012822,              0.0012822,              0.0012822
                    147,                 1.2947,                0.77494,                0.93457,                  0.852,                0.80153,                 0.8395,                0.53662,                 1.2436,                0.81316,                0.96896,              0.0012773,              0.0012773,              0.0012773
                    148,                 1.3173,                 0.7829,                 0.9454,                0.82819,                0.81679,                0.84922,                0.53436,                 1.2746,                0.83473,                0.97269,              0.0012724,              0.0012724,              0.0012724
                    149,                 1.2873,                0.76444,                0.93626,                0.81797,                0.80608,                0.83848,                0.51515,                 1.2979,                0.90487,                0.99029,              0.0012674,              0.0012674,              0.0012674
                    150,                 1.3196,                0.77355,                  0.936,                0.86533,                0.81298,                0.86286,                0.55057,                 1.2336,                0.81046,                0.96871,              0.0012624,              0.0012624,              0.0012624
                    151,                 1.2661,                0.76174,                0.92887,                0.76514,                0.83206,                0.84117,                0.53195,                 1.2948,                0.82348,                  0.987,              0.0012575,              0.0012575,              0.0012575
                    152,                 1.2931,                0.77249,                0.94047,                0.76098,                0.72137,                0.78559,                0.46203,                 1.4546,                 1.0179,                 1.0523,              0.0012526,              0.0012526,              0.0012526
                    153,                 1.3022,                0.77174,                0.93162,                0.85477,                 0.7638,                0.86607,                0.58262,                 1.2095,                0.80278,                0.98186,              0.0012476,              0.0012476,              0.0012476
